id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,beds,review_scores_rating
12189674,63020908,Borgy,Wyndham,-37.90242508,144.6330384,Private room,35,1,1,2/6/16,0.1,1,359,2,
13036416,71928865,Paula,Wyndham,-37.89013145,144.6852561,Private room,75,10,1,30/5/16,0.1,1,0,2,
12179388,65443456,Walter,Wyndham,-37.9073073,144.6340155,Entire home/apt,170,1,3,2/2/17,0.46,1,365,3,100
6876108,32879672,Joyce & Mark,Wyndham,-37.90048303,144.7769871,Private room,79,2,6,5/11/16,0.64,1,324,1,90
11067119,44788627,Cibeli,Wyndham,-37.87871279,144.7207045,Private room,45,1,6,4/3/17,0.43,1,364,1,100
9201274,1476661,Faapoi,Wyndham,-37.89261322,144.6089908,Private room,73,1,0,,,1,364,1,
13100557,72781918,Rahul,Wyndham,-37.88842346,144.6616147,Private room,60,1,0,,,1,365,1,
10282551,52885981,Patrick,Wyndham,-37.87616652,144.7061914,Private room,85,1,3,2/2/17,0.23,1,365,1,100
10528362,54289205,Jen,Wyndham,-37.87930348,144.6712759,Private room,31,2,15,9/2/17,1.02,2,304,1,87
16901768,67264579,Afroza,Wyndham,-37.8597434,144.7288982,Private room,30,4,0,,,1,91,1,
12997271,60790126,Vani,Wyndham,-37.86405005,144.723383,Private room,90,1,1,25/5/16,0.1,1,365,2,
14739344,15651267,Serviced Houses Australia Hosted By,Wyndham,-37.96529659,144.7056008,Entire home/apt,245,2,0,,,46,347,9,
17945274,109788769,Mia,Wyndham,-37.85688456,144.747889,Private room,180,1,0,,,6,349,5,
16579390,82234809,Zeeshan,Wyndham,-37.89426504,144.647625,Private room,66,2,0,,,1,349,1,
8994613,31704781,Shae,Wyndham,-37.83818966,144.7086137,Private room,75,1,80,18/3/17,4.73,1,73,3,98
14973786,2587171,Melba,Wyndham,-37.86916427,144.6757043,Private room,75,3,4,31/1/17,0.63,1,364,5,95
1637329,8623584,Michael,Wyndham,-37.90188125,144.742286,Private room,60,3,1,16/3/17,1,4,180,1,80
6941758,15651267,Serviced Houses Australia Hosted By,Wyndham,-37.90702422,144.7721874,Entire home/apt,176,2,8,4/3/17,0.4,46,360,7,78
14971779,92196966,Alex,Wyndham,-37.88426246,144.7313878,Entire home/apt,320,2,4,4/3/17,0.91,2,335,6,87
16902136,109788769,Mia,Wyndham,-37.85771877,144.7483621,Private room,66,1,1,9/3/17,1,6,358,2,100
12934790,71037095,Radhe,Wyndham,-37.85794424,144.726873,Private room,45,1,0,,,1,365,1,
6487741,1751503,Charlin & Candy,Wyndham,-37.89716385,144.775156,Private room,45,1,28,13/3/17,1.6,2,353,2,95
17783422,63276696,Bobby,Wyndham,-37.90966937,144.7619045,Private room,39,1,0,,,4,160,1,
15302418,19362358,Donald & Ween,Wyndham,-37.90273088,144.7305274,Private room,39,1,20,30/3/17,7.32,3,160,1,96
16020432,15651267,Serviced Houses Australia Hosted By,Wyndham,-37.90873486,144.7782638,Entire home/apt,215,2,1,28/12/16,0.31,46,359,6,60
11703323,4591571,Cassie,Wyndham,-37.83627138,144.716031,Private room,35,1,18,2/4/17,1.39,1,358,3,99
15596606,24785416,Subhashish,Wyndham,-37.90417736,144.7441007,Entire home/apt,128,1,13,25/3/17,3.02,1,144,6,92
13661968,60445511,Jessica,Wyndham,-37.86128979,144.736645,Private room,66,1,0,,,1,364,1,
4390476,22793004,Samuel,Wyndham,-37.84719563,144.6860232,Private room,59,1,12,20/1/17,0.42,2,358,1,90
17574386,31771415,Anoo Radha,Wyndham,-37.91164218,144.7761299,Private room,55,1,1,28/3/17,1,1,83,1,100
